20:09:51,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
20:09:52,4,16.30,0.00,10.87,0.00,0.00,2.17,0.00,0.00,0.00,70.65
20:09:52,5,20.43,0.00,9.68,0.00,0.00,3.23,0.00,0.00,0.00,66.67
20:09:52,6,9.68,0.00,10.75,1.08,0.00,3.23,0.00,0.00,0.00,75.27
20:09:52,7,10.64,0.00,9.57,0.00,0.00,2.13,0.00,0.00,0.00,77.66
20:09:52,12,13.40,0.00,10.31,0.00,0.00,2.06,0.00,0.00,0.00,74.23
20:09:52,13,10.00,0.00,8.89,2.22,0.00,2.22,0.00,0.00,0.00,76.67
20:09:52,14,10.64,0.00,7.45,0.00,0.00,2.13,0.00,0.00,0.00,79.79
20:09:52,15,10.53,0.00,8.42,0.00,0.00,2.11,0.00,0.00,0.00,78.95
20:09:53,4,21.74,0.00,18.48,0.00,0.00,4.35,0.00,0.00,0.00,55.43
20:09:53,5,21.98,0.00,17.58,0.00,0.00,4.40,0.00,0.00,0.00,56.04
20:09:53,6,18.39,0.00,18.39,0.00,0.00,5.75,0.00,0.00,0.00,57.47
20:09:53,7,18.82,0.00,17.65,0.00,0.00,4.71,0.00,0.00,0.00,58.82
20:09:53,12,19.32,0.00,18.18,0.00,0.00,5.68,0.00,0.00,0.00,56.82
20:09:53,13,24.18,0.00,16.48,0.00,0.00,4.40,0.00,0.00,0.00,54.95
20:09:53,14,21.35,0.00,17.98,0.00,0.00,4.49,0.00,0.00,0.00,56.18
20:09:53,15,22.73,0.00,15.91,0.00,0.00,4.55,0.00,0.00,0.00,56.82
20:09:54,4,24.44,0.00,17.78,0.00,0.00,4.44,0.00,0.00,0.00,53.33
20:09:54,5,23.60,0.00,16.85,0.00,0.00,4.49,0.00,0.00,0.00,55.06
20:09:54,6,22.99,0.00,16.09,1.15,0.00,4.60,0.00,0.00,0.00,55.17
20:09:54,7,20.22,0.00,16.85,0.00,0.00,5.62,0.00,0.00,0.00,57.30
20:09:54,12,22.99,0.00,16.09,0.00,0.00,4.60,0.00,0.00,0.00,56.32
20:09:54,13,22.09,0.00,17.44,0.00,0.00,3.49,0.00,0.00,0.00,56.98
20:09:54,14,21.59,0.00,15.91,0.00,0.00,5.68,0.00,0.00,0.00,56.82
20:09:54,15,19.10,0.00,17.98,0.00,0.00,4.49,0.00,0.00,0.00,58.43
20:09:55,4,20.69,0.00,13.79,0.00,0.00,6.90,0.00,0.00,0.00,58.62
20:09:55,5,22.47,0.00,14.61,0.00,0.00,4.49,0.00,0.00,0.00,58.43
20:09:55,6,19.32,0.00,17.05,0.00,0.00,5.68,0.00,0.00,0.00,57.95
20:09:55,7,21.35,0.00,15.73,0.00,0.00,5.62,0.00,0.00,0.00,57.30
20:09:55,12,20.24,0.00,15.48,0.00,0.00,4.76,0.00,0.00,0.00,59.52
20:09:55,13,21.35,0.00,15.73,0.00,0.00,5.62,0.00,0.00,0.00,57.30
20:09:55,14,20.93,0.00,15.12,0.00,0.00,4.65,0.00,0.00,0.00,59.30
20:09:55,15,19.54,0.00,17.24,0.00,0.00,4.60,0.00,0.00,0.00,58.62
20:09:56,4,21.35,0.00,16.85,0.00,0.00,5.62,0.00,0.00,0.00,56.18
20:09:56,5,23.08,0.00,16.48,0.00,0.00,5.49,0.00,0.00,0.00,54.95
20:09:56,6,21.59,0.00,17.05,0.00,0.00,4.55,0.00,0.00,0.00,56.82
