10:14:42,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
10:14:43,4,48.00,0.00,7.00,0.00,0.00,1.00,0.00,0.00,0.00,44.00
10:14:43,5,57.14,0.00,8.16,0.00,0.00,1.02,0.00,0.00,0.00,33.67
10:14:43,6,44.00,0.00,6.00,0.00,0.00,2.00,0.00,0.00,0.00,48.00
10:14:43,7,43.43,0.00,7.07,0.00,0.00,2.02,0.00,0.00,0.00,47.47
10:14:43,12,45.00,0.00,5.00,0.00,0.00,1.00,0.00,0.00,0.00,49.00
10:14:43,13,50.00,0.00,6.00,0.00,0.00,2.00,0.00,0.00,0.00,42.00
10:14:43,14,47.47,0.00,5.05,0.00,0.00,2.02,0.00,0.00,0.00,45.45
10:14:43,15,45.54,0.00,4.95,0.00,0.00,1.98,0.00,0.00,0.00,47.52
10:14:44,4,88.00,0.00,8.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00
10:14:44,5,88.12,0.00,7.92,0.00,0.00,2.97,0.00,0.00,0.00,0.99
10:14:44,6,89.90,0.00,7.07,0.00,0.00,3.03,0.00,0.00,0.00,0.00
10:14:44,7,89.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
10:14:44,12,89.90,0.00,8.08,0.00,0.00,2.02,0.00,0.00,0.00,0.00
10:14:44,13,89.00,0.00,9.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00
10:14:44,14,87.13,0.00,8.91,0.00,0.00,3.96,0.00,0.00,0.00,0.00
10:14:44,15,87.88,0.00,10.10,0.00,0.00,2.02,0.00,0.00,0.00,0.00
10:14:45,4,90.00,0.00,8.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00
10:14:45,5,87.88,0.00,9.09,0.00,0.00,3.03,0.00,0.00,0.00,0.00
10:14:45,6,89.11,0.00,7.92,0.00,0.00,2.97,0.00,0.00,0.00,0.00
10:14:45,7,90.00,0.00,7.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
10:14:45,12,89.11,0.00,7.92,0.00,0.00,2.97,0.00,0.00,0.00,0.00
10:14:45,13,88.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
10:14:45,14,90.00,0.00,8.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00
10:14:45,15,89.00,0.00,9.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00
10:14:46,4,89.00,0.00,9.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00
10:14:46,5,88.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
10:14:46,6,90.91,0.00,7.07,0.00,0.00,2.02,0.00,0.00,0.00,0.00
10:14:46,7,88.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
10:14:46,12,89.90,0.00,7.07,0.00,0.00,3.03,0.00,0.00,0.00,0.00
10:14:46,13,89.11,0.00,6.93,0.00,0.00,2.97,0.00,0.00,0.00,0.99
10:14:46,14,88.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
10:14:46,15,90.00,0.00,8.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00
10:14:47,4,88.89,0.00,8.08,0.00,0.00,3.03,0.00,0.00,0.00,0.00
10:14:47,5,88.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
10:14:47,6,88.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
10:14:47,7,87.13,0.00,8.91,0.00,0.00,2.97,0.00,0.00,0.00,0.99
10:14:47,12,88.24,0.00,7.84,0.00,0.00,2.94,0.00,0.00,0.00,0.98
10:14:47,13,88.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
10:14:47,14,88.12,0.00,8.91,0.00,0.00,1.98,0.00,0.00,0.00,0.99
10:14:47,15,88.12,0.00,7.92,0.00,0.00,2.97,0.00,0.00,0.00,0.99
10:14:48,4,88.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
10:14:48,5,89.00,0.00,9.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00
10:14:48,6,88.00,0.00,10.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00
10:14:48,7,89.90,0.00,8.08,0.00,0.00,2.02,0.00,0.00,0.00,0.00
10:14:48,12,88.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
10:14:48,13,88.89,0.00,9.09,0.00,0.00,2.02,0.00,0.00,0.00,0.00
10:14:48,14,90.00,0.00,8.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00
10:14:48,15,89.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
10:14:49,4,87.25,0.00,8.82,0.00,0.00,2.94,0.00,0.00,0.00,0.98
10:14:49,5,90.00,0.00,8.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00
10:14:49,6,88.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
10:14:49,7,86.14,0.00,8.91,0.00,0.00,4.95,0.00,0.00,0.00,0.00
10:14:49,12,87.00,0.00,10.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
10:14:49,13,88.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
10:14:49,14,90.91,0.00,7.07,0.00,0.00,2.02,0.00,0.00,0.00,0.00
10:14:49,15,91.00,0.00,7.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00
10:14:50,4,90.82,0.00,7.14,0.00,0.00,1.02,0.00,0.00,0.00,1.02
10:14:50,5,86.14,0.00,7.92,1.98,0.00,3.96,0.00,0.00,0.00,0.00
10:14:50,6,89.00,0.00,7.00,0.00,0.00,2.00,0.00,0.00,0.00,2.00
10:14:50,7,89.90,0.00,7.07,0.00,0.00,2.02,0.00,0.00,0.00,1.01
10:14:50,12,90.82,0.00,6.12,0.00,0.00,2.04,0.00,0.00,0.00,1.02
10:14:50,13,86.14,0.00,9.90,0.00,0.00,1.98,0.00,0.00,0.00,1.98
10:14:50,14,85.15,0.00,9.90,0.00,0.00,2.97,0.00,0.00,0.00,1.98
10:14:50,15,89.00,0.00,7.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
10:14:51,4,88.12,0.00,7.92,0.00,0.00,2.97,0.00,0.00,0.00,0.99
10:14:51,5,88.89,0.00,8.08,0.00,0.00,3.03,0.00,0.00,0.00,0.00
10:14:51,6,89.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
10:14:51,7,87.00,0.00,8.00,0.00,0.00,4.00,0.00,0.00,0.00,1.00
10:14:51,12,88.12,0.00,7.92,0.00,0.00,2.97,0.00,0.00,0.00,0.99
10:14:51,13,87.00,0.00,9.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00
10:14:51,14,89.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
10:14:51,15,88.89,0.00,8.08,0.00,0.00,2.02,0.00,0.00,0.00,1.01
10:14:52,4,87.00,0.00,11.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00
10:14:52,5,89.00,0.00,9.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00
10:14:52,6,87.00,0.00,9.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00
10:14:52,7,87.13,0.00,8.91,0.00,0.00,3.96,0.00,0.00,0.00,0.00
10:14:52,12,87.00,0.00,10.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
10:14:52,13,89.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
10:14:52,14,88.89,0.00,8.08,0.00,0.00,3.03,0.00,0.00,0.00,0.00
10:14:52,15,88.12,0.00,8.91,0.00,0.00,2.97,0.00,0.00,0.00,0.00
10:14:53,4,89.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
10:14:53,5,87.00,0.00,10.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
10:14:53,6,90.91,0.00,7.07,0.00,0.00,2.02,0.00,0.00,0.00,0.00
10:14:53,7,89.90,0.00,8.08,0.00,0.00,2.02,0.00,0.00,0.00,0.00
10:14:53,12,88.00,0.00,8.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00
10:14:53,13,89.90,0.00,7.07,0.00,0.00,3.03,0.00,0.00,0.00,0.00
10:14:53,14,89.11,0.00,7.92,0.00,0.00,2.97,0.00,0.00,0.00,0.00
10:14:53,15,88.89,0.00,9.09,0.00,0.00,2.02,0.00,0.00,0.00,0.00
10:14:54,4,90.00,0.00,8.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00
10:14:54,5,89.90,0.00,8.08,0.00,0.00,2.02,0.00,0.00,0.00,0.00
10:14:54,6,89.11,0.00,7.92,0.00,0.00,2.97,0.00,0.00,0.00,0.00
10:14:54,7,90.10,0.00,6.93,0.00,0.00,2.97,0.00,0.00,0.00,0.00
10:14:54,12,90.00,0.00,8.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00
10:14:54,13,89.11,0.00,7.92,0.00,0.00,2.97,0.00,0.00,0.00,0.00
10:14:54,14,88.89,0.00,9.09,0.00,0.00,2.02,0.00,0.00,0.00,0.00
10:14:54,15,88.12,0.00,7.92,0.00,0.00,3.96,0.00,0.00,0.00,0.00
10:14:55,4,88.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
10:14:55,5,87.13,0.00,8.91,0.00,0.00,3.96,0.00,0.00,0.00,0.00
10:14:55,6,88.00,0.00,9.00,0.00,0.00,2.00,0.00,0.00,0.00,1.00
10:14:55,7,87.88,0.00,10.10,0.00,0.00,2.02,0.00,0.00,0.00,0.00
10:14:55,12,89.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
