10:57:36,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
10:57:37,4,42.42,0.00,6.06,1.01,0.00,2.02,0.00,0.00,0.00,48.48
10:57:37,5,51.55,0.00,7.22,0.00,0.00,1.03,0.00,0.00,0.00,40.21
10:57:37,6,41.00,0.00,7.00,0.00,0.00,1.00,0.00,0.00,0.00,51.00
10:57:37,7,40.40,0.00,5.05,0.00,0.00,1.01,0.00,0.00,0.00,53.54
10:57:37,12,41.84,0.00,5.10,0.00,0.00,1.02,0.00,0.00,0.00,52.04
10:57:37,13,43.88,0.00,7.14,2.04,0.00,1.02,0.00,0.00,0.00,45.92
10:57:37,14,41.00,0.00,5.00,0.00,0.00,2.00,0.00,0.00,0.00,52.00
10:57:37,15,39.39,0.00,7.07,0.00,0.00,1.01,0.00,0.00,0.00,52.53
10:57:38,4,83.84,0.00,9.09,0.00,0.00,2.02,0.00,0.00,0.00,5.05
10:57:38,5,84.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,5.00
10:57:38,6,84.69,0.00,8.16,0.00,0.00,2.04,0.00,0.00,0.00,5.10
10:57:38,7,83.84,0.00,9.09,0.00,0.00,2.02,0.00,0.00,0.00,5.05
10:57:38,12,83.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,5.00
10:57:38,13,85.00,0.00,8.00,0.00,0.00,2.00,0.00,0.00,0.00,5.00
10:57:38,14,82.00,0.00,10.00,0.00,0.00,3.00,0.00,0.00,0.00,5.00
10:57:38,15,82.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,6.00
10:57:39,4,86.00,0.00,6.00,0.00,0.00,3.00,0.00,0.00,0.00,5.00
10:57:39,5,84.00,0.00,10.00,0.00,0.00,2.00,0.00,0.00,0.00,4.00
10:57:39,6,83.00,0.00,10.00,0.00,0.00,2.00,0.00,0.00,0.00,5.00
10:57:39,7,84.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,5.00
10:57:39,12,85.29,0.00,6.86,0.00,0.00,2.94,0.00,0.00,0.00,4.90
10:57:39,13,82.00,0.00,10.00,0.00,0.00,2.00,0.00,0.00,0.00,6.00
10:57:39,14,83.84,0.00,8.08,0.00,0.00,3.03,0.00,0.00,0.00,5.05
10:57:39,15,84.85,0.00,9.09,0.00,0.00,2.02,0.00,0.00,0.00,4.04
10:57:40,4,84.00,0.00,10.00,0.00,0.00,2.00,0.00,0.00,0.00,4.00
10:57:40,5,85.86,0.00,8.08,0.00,0.00,2.02,0.00,0.00,0.00,4.04
10:57:40,6,84.85,0.00,8.08,0.00,0.00,3.03,0.00,0.00,0.00,4.04
10:57:40,7,83.00,0.00,10.00,0.00,0.00,3.00,0.00,0.00,0.00,4.00
10:57:40,12,83.67,0.00,10.20,0.00,0.00,2.04,0.00,0.00,0.00,4.08
10:57:40,13,83.17,0.00,9.90,0.00,0.00,2.97,0.00,0.00,0.00,3.96
10:57:40,14,84.85,0.00,9.09,0.00,0.00,2.02,0.00,0.00,0.00,4.04
10:57:40,15,84.85,0.00,8.08,0.00,0.00,2.02,0.00,0.00,0.00,5.05
10:57:41,4,83.00,0.00,10.00,0.00,0.00,3.00,0.00,0.00,0.00,4.00
