11:38:07,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
11:38:08,4,52.53,0.00,4.04,0.00,0.00,1.01,0.00,0.00,0.00,42.42
11:38:08,5,54.00,0.00,8.00,0.00,0.00,2.00,0.00,0.00,0.00,36.00
11:38:08,6,45.00,0.00,5.00,0.00,0.00,2.00,0.00,0.00,0.00,48.00
11:38:08,7,44.44,0.00,5.05,0.00,0.00,2.02,0.00,0.00,0.00,48.48
11:38:08,12,45.45,0.00,6.06,0.00,0.00,2.02,0.00,0.00,0.00,46.46
11:38:08,13,48.00,0.00,5.00,0.00,0.00,2.00,0.00,0.00,0.00,45.00
11:38:08,14,45.00,0.00,5.00,0.00,0.00,1.00,0.00,0.00,0.00,49.00
11:38:08,15,45.45,0.00,5.05,0.00,0.00,2.02,0.00,0.00,0.00,47.47
11:38:09,4,88.12,0.00,8.91,0.00,0.00,2.97,0.00,0.00,0.00,0.00
11:38:09,5,89.90,0.00,8.08,0.00,0.00,2.02,0.00,0.00,0.00,0.00
11:38:09,6,88.89,0.00,9.09,0.00,0.00,2.02,0.00,0.00,0.00,0.00
11:38:09,7,88.12,0.00,8.91,0.00,0.00,1.98,0.00,0.00,0.00,0.99
11:38:09,12,90.10,0.00,7.92,0.00,0.00,1.98,0.00,0.00,0.00,0.00
11:38:09,13,89.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
11:38:09,14,90.10,0.00,6.93,0.00,0.00,2.97,0.00,0.00,0.00,0.00
11:38:09,15,89.90,0.00,8.08,0.00,0.00,2.02,0.00,0.00,0.00,0.00
11:38:10,4,89.90,0.00,7.07,0.00,0.00,3.03,0.00,0.00,0.00,0.00
11:38:10,5,88.12,0.00,8.91,0.00,0.00,2.97,0.00,0.00,0.00,0.00
11:38:10,6,88.12,0.00,8.91,0.00,0.00,2.97,0.00,0.00,0.00,0.00
11:38:10,7,89.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
11:38:10,12,89.90,0.00,7.07,0.00,0.00,3.03,0.00,0.00,0.00,0.00
11:38:10,13,89.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
11:38:10,14,88.89,0.00,8.08,0.00,0.00,3.03,0.00,0.00,0.00,0.00
11:38:10,15,89.11,0.00,7.92,0.00,0.00,2.97,0.00,0.00,0.00,0.00
11:38:11,4,89.00,0.00,7.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00
11:38:11,5,90.91,0.00,7.07,0.00,0.00,2.02,0.00,0.00,0.00,0.00
11:38:11,6,91.00,0.00,7.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00
11:38:11,7,88.89,0.00,8.08,0.00,0.00,3.03,0.00,0.00,0.00,0.00
11:38:11,12,90.91,0.00,8.08,0.00,0.00,1.01,0.00,0.00,0.00,0.00
11:38:11,13,88.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
11:38:11,14,89.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
11:38:11,15,89.00,0.00,9.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00
11:38:12,4,88.12,0.00,8.91,0.00,0.00,2.97,0.00,0.00,0.00,0.00
11:38:12,5,89.00,0.00,9.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00
11:38:12,6,89.90,0.00,7.07,0.00,0.00,3.03,0.00,0.00,0.00,0.00
11:38:12,7,88.12,0.00,8.91,0.00,0.00,2.97,0.00,0.00,0.00,0.00
11:38:12,12,87.25,0.00,8.82,0.00,0.00,2.94,0.00,0.00,0.00,0.98
11:38:12,13,89.11,0.00,6.93,0.00,0.00,2.97,0.00,0.00,0.00,0.99
11:38:12,14,88.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
11:38:12,15,87.13,0.00,8.91,0.00,0.00,2.97,0.00,0.00,0.00,0.99
