13:01:39,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
13:01:40,4,45.00,0.00,7.00,0.00,0.00,1.00,0.00,0.00,0.00,47.00
13:01:40,5,48.98,0.00,6.12,0.00,0.00,2.04,0.00,0.00,0.00,42.86
13:01:40,6,41.00,0.00,5.00,0.00,0.00,3.00,0.00,0.00,0.00,51.00
13:01:40,7,42.42,0.00,5.05,0.00,0.00,2.02,0.00,0.00,0.00,50.51
13:01:40,12,44.90,0.00,5.10,0.00,0.00,1.02,0.00,0.00,0.00,48.98
13:01:40,13,51.52,0.00,8.08,0.00,0.00,1.01,0.00,0.00,0.00,39.39
13:01:40,14,42.42,0.00,5.05,0.00,0.00,1.01,0.00,0.00,0.00,51.52
13:01:40,15,43.88,0.00,5.10,0.00,0.00,1.02,0.00,0.00,0.00,50.00
13:01:41,4,82.83,0.00,8.08,0.00,0.00,2.02,0.00,0.00,0.00,7.07
13:01:41,5,82.65,0.00,9.18,0.00,0.00,1.02,0.00,0.00,0.00,7.14
13:01:41,6,83.67,0.00,7.14,0.00,0.00,2.04,0.00,0.00,0.00,7.14
13:01:41,7,79.80,0.00,10.10,0.00,0.00,2.02,0.00,0.00,0.00,8.08
13:01:41,12,80.20,0.00,8.91,0.00,0.00,2.97,0.00,0.00,0.00,7.92
13:01:41,13,80.81,0.00,9.09,0.00,0.00,3.03,0.00,0.00,0.00,7.07
13:01:41,14,82.18,0.00,7.92,0.00,0.00,2.97,0.00,0.00,0.00,6.93
13:01:41,15,81.82,0.00,8.08,0.00,0.00,3.03,0.00,0.00,0.00,7.07
13:01:42,4,80.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,9.00
13:01:42,5,80.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,9.00
13:01:42,6,78.79,0.00,9.09,0.00,0.00,3.03,0.00,0.00,0.00,9.09
13:01:42,7,79.59,0.00,8.16,0.00,0.00,3.06,0.00,0.00,0.00,9.18
13:01:42,12,79.80,0.00,9.09,0.00,0.00,2.02,0.00,0.00,0.00,9.09
13:01:42,13,81.82,0.00,8.08,0.00,0.00,2.02,0.00,0.00,0.00,8.08
13:01:42,14,80.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,9.00
13:01:42,15,77.23,0.00,9.90,0.00,0.00,2.97,0.00,0.00,0.00,9.90
13:01:43,4,82.83,0.00,7.07,0.00,0.00,2.02,0.00,0.00,0.00,8.08
13:01:43,5,80.81,0.00,8.08,0.00,0.00,3.03,0.00,0.00,0.00,8.08
13:01:43,6,82.00,0.00,8.00,0.00,0.00,2.00,0.00,0.00,0.00,8.00
13:01:43,7,79.41,0.00,8.82,0.00,0.00,2.94,0.00,0.00,0.00,8.82
13:01:43,12,80.00,0.00,10.00,0.00,0.00,2.00,0.00,0.00,0.00,8.00
13:01:43,13,80.00,0.00,10.00,0.00,0.00,2.00,0.00,0.00,0.00,8.00
13:01:43,14,79.80,0.00,9.09,0.00,0.00,3.03,0.00,0.00,0.00,8.08
13:01:43,15,81.82,0.00,8.08,0.00,0.00,2.02,0.00,0.00,0.00,8.08
13:01:44,4,81.82,0.00,7.07,0.00,0.00,2.02,0.00,0.00,0.00,9.09
13:01:44,5,80.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,8.00
13:01:44,6,77.78,0.00,10.10,0.00,0.00,3.03,0.00,0.00,0.00,9.09
13:01:44,7,78.79,0.00,9.09,0.00,0.00,3.03,0.00,0.00,0.00,9.09
13:01:44,12,81.82,0.00,8.08,0.00,0.00,2.02,0.00,0.00,0.00,8.08
13:01:44,13,78.22,0.00,9.90,0.00,0.00,2.97,0.00,0.00,0.00,8.91
13:01:44,14,79.80,0.00,9.09,0.00,0.00,2.02,0.00,0.00,0.00,9.09
13:01:44,15,82.65,0.00,6.12,0.00,0.00,2.04,0.00,0.00,0.00,9.18
13:01:45,4,80.20,0.00,7.92,0.00,0.00,3.96,0.00,0.00,0.00,7.92
13:01:45,5,82.65,0.00,7.14,0.00,0.00,2.04,0.00,0.00,0.00,8.16
13:01:45,6,81.82,0.00,7.07,0.00,0.00,3.03,0.00,0.00,0.00,8.08
13:01:45,7,81.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,7.00
13:01:45,12,78.79,0.00,9.09,0.00,0.00,4.04,0.00,0.00,0.00,8.08
13:01:45,13,80.81,0.00,8.08,0.00,0.00,3.03,0.00,0.00,0.00,8.08
13:01:45,14,80.39,0.00,8.82,0.00,0.00,2.94,0.00,0.00,0.00,7.84
13:01:45,15,80.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,8.00
13:01:46,4,79.80,0.00,11.11,0.00,0.00,2.02,0.00,0.00,0.00,7.07
13:01:46,5,81.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,7.00
13:01:46,6,81.00,0.00,10.00,0.00,0.00,2.00,0.00,0.00,0.00,7.00
13:01:46,7,79.00,0.00,11.00,0.00,0.00,2.00,0.00,0.00,0.00,8.00
13:01:46,12,81.00,0.00,10.00,0.00,0.00,2.00,0.00,0.00,0.00,7.00
13:01:46,13,82.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,7.00
13:01:46,14,83.84,0.00,7.07,0.00,0.00,2.02,0.00,0.00,0.00,7.07
13:01:46,15,82.00,0.00,9.00,0.00,0.00,2.00,0.00,0.00,0.00,7.00
13:01:47,4,79.59,0.00,9.18,0.00,0.00,3.06,0.00,0.00,0.00,8.16
13:01:47,5,81.82,0.00,8.08,0.00,0.00,2.02,0.00,0.00,0.00,8.08
13:01:47,6,81.82,0.00,7.07,0.00,0.00,2.02,0.00,0.00,0.00,9.09
13:01:47,7,78.57,0.00,9.18,0.00,0.00,3.06,0.00,0.00,0.00,9.18
13:01:47,12,81.82,0.00,7.07,0.00,0.00,2.02,0.00,0.00,0.00,9.09
13:01:47,13,81.82,0.00,8.08,0.00,0.00,2.02,0.00,0.00,0.00,8.08
13:01:47,14,80.81,0.00,7.07,0.00,0.00,3.03,0.00,0.00,0.00,9.09
13:01:47,15,79.21,0.00,7.92,0.00,0.00,2.97,0.00,0.00,0.00,9.90
13:01:48,4,80.20,0.00,8.91,0.00,0.00,2.97,0.00,0.00,0.00,7.92
13:01:48,5,80.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,8.00
13:01:48,6,81.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,8.00
13:01:48,7,80.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,8.00
13:01:48,12,82.00,0.00,8.00,0.00,0.00,2.00,0.00,0.00,0.00,8.00
13:01:48,13,78.79,0.00,9.09,0.00,0.00,4.04,0.00,0.00,0.00,8.08
13:01:48,14,81.00,0.00,7.00,0.00,0.00,4.00,0.00,0.00,0.00,8.00
13:01:48,15,82.83,0.00,7.07,0.00,0.00,2.02,0.00,0.00,0.00,8.08
13:01:49,4,81.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,8.00
13:01:49,5,78.79,0.00,10.10,0.00,0.00,3.03,0.00,0.00,0.00,8.08
13:01:49,6,78.57,0.00,9.18,0.00,0.00,4.08,0.00,0.00,0.00,8.16
13:01:49,7,80.81,0.00,8.08,0.00,0.00,3.03,0.00,0.00,0.00,8.08
13:01:49,12,81.82,0.00,7.07,0.00,0.00,3.03,0.00,0.00,0.00,8.08
13:01:49,13,82.00,0.00,7.00,0.00,0.00,3.00,0.00,0.00,0.00,8.00
13:01:49,14,81.00,0.00,9.00,0.00,0.00,2.00,0.00,0.00,0.00,8.00
13:01:49,15,79.21,0.00,8.91,0.00,0.00,2.97,0.00,0.00,0.00,8.91
13:01:50,4,81.82,0.00,8.08,0.00,0.00,2.02,0.00,0.00,0.00,8.08
13:01:50,5,81.00,0.00,9.00,0.00,0.00,2.00,0.00,0.00,0.00,8.00
13:01:50,6,83.00,0.00,7.00,0.00,0.00,2.00,0.00,0.00,0.00,8.00
13:01:50,7,80.81,0.00,9.09,0.00,0.00,2.02,0.00,0.00,0.00,8.08
13:01:50,12,79.00,0.00,10.00,0.00,0.00,3.00,0.00,0.00,0.00,8.00
13:01:50,13,80.81,0.00,9.09,0.00,0.00,3.03,0.00,0.00,0.00,7.07
13:01:50,14,82.83,0.00,7.07,0.00,0.00,2.02,0.00,0.00,0.00,8.08
13:01:50,15,83.67,0.00,7.14,0.00,0.00,2.04,0.00,0.00,0.00,7.14
13:01:51,4,81.63,0.00,8.16,0.00,0.00,2.04,0.00,0.00,0.00,8.16
13:01:51,5,80.81,0.00,8.08,0.00,0.00,3.03,0.00,0.00,0.00,8.08
13:01:51,6,79.80,0.00,9.09,0.00,0.00,3.03,0.00,0.00,0.00,8.08
13:01:51,7,79.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,9.00
13:01:51,12,81.19,0.00,7.92,0.00,0.00,2.97,0.00,0.00,0.00,7.92
13:01:51,13,79.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,9.00
13:01:51,14,78.79,0.00,9.09,0.00,0.00,4.04,0.00,0.00,0.00,8.08
13:01:51,15,80.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,9.00
13:01:52,4,81.82,0.00,9.09,0.00,0.00,2.02,0.00,0.00,0.00,7.07
13:01:52,5,80.81,0.00,9.09,0.00,0.00,3.03,0.00,0.00,0.00,7.07
13:01:52,6,81.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,8.00
13:01:52,7,81.82,0.00,8.08,0.00,0.00,3.03,0.00,0.00,0.00,7.07
13:01:52,12,81.63,0.00,8.16,0.00,0.00,3.06,0.00,0.00,0.00,7.14
13:01:52,13,82.83,0.00,8.08,0.00,0.00,2.02,0.00,0.00,0.00,7.07
13:01:52,14,82.18,0.00,7.92,0.00,0.00,2.97,0.00,0.00,0.00,6.93
13:01:52,15,82.00,0.00,9.00,0.00,0.00,2.00,0.00,0.00,0.00,7.00
13:01:53,4,80.81,0.00,8.08,0.00,0.00,3.03,0.00,0.00,0.00,8.08
13:01:53,5,79.80,0.00,10.10,0.00,0.00,3.03,0.00,0.00,0.00,7.07
13:01:53,6,81.19,0.00,7.92,0.00,0.00,2.97,0.00,0.00,0.00,7.92
13:01:53,7,80.00,0.00,10.00,0.00,0.00,2.00,0.00,0.00,0.00,8.00
13:01:53,12,81.82,0.00,8.08,0.00,0.00,2.02,0.00,0.00,0.00,8.08
13:01:53,13,80.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,8.00
13:01:53,14,80.61,0.00,9.18,0.00,0.00,2.04,0.00,0.00,0.00,8.16
13:01:53,15,80.20,0.00,8.91,0.00,0.00,2.97,0.00,0.00,0.00,7.92
13:01:54,4,81.19,0.00,8.91,0.00,0.00,1.98,0.00,0.00,0.00,7.92
13:01:54,5,78.22,0.00,9.90,0.00,0.00,2.97,0.00,0.00,0.00,8.91
13:01:54,6,82.83,0.00,7.07,0.00,0.00,2.02,0.00,0.00,0.00,8.08
13:01:54,7,79.00,0.00,10.00,0.00,0.00,3.00,0.00,0.00,0.00,8.00
13:01:54,12,79.00,0.00,10.00,0.00,0.00,3.00,0.00,0.00,0.00,8.00
13:01:54,13,79.00,0.00,10.00,0.00,0.00,3.00,0.00,0.00,0.00,8.00
13:01:54,14,81.00,0.00,9.00,0.00,0.00,2.00,0.00,0.00,0.00,8.00
13:01:54,15,79.80,0.00,8.08,0.00,0.00,3.03,0.00,0.00,0.00,9.09
13:01:55,4,79.80,0.00,8.08,0.00,0.00,3.03,0.00,0.00,0.00,9.09
13:01:55,5,81.82,0.00,7.07,0.00,0.00,3.03,0.00,0.00,0.00,8.08
13:01:55,6,80.61,0.00,8.16,0.00,0.00,2.04,0.00,0.00,0.00,9.18
13:01:55,7,80.00,0.00,8.00,0.00,0.00,2.00,0.00,0.00,0.00,10.00
13:01:55,12,76.00,0.00,10.00,0.00,0.00,5.00,0.00,0.00,0.00,9.00
13:01:55,13,79.80,0.00,9.09,0.00,0.00,2.02,0.00,0.00,0.00,9.09
13:01:55,14,78.79,0.00,9.09,0.00,0.00,3.03,0.00,0.00,0.00,9.09
13:01:55,15,78.79,0.00,10.10,0.00,0.00,2.02,0.00,0.00,0.00,9.09
13:01:56,4,80.20,0.00,8.91,0.00,0.00,1.98,0.00,0.00,0.00,8.91
13:01:56,5,80.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,9.00
13:01:56,6,80.00,0.00,8.00,0.00,0.00,4.00,0.00,0.00,0.00,8.00
13:01:56,7,82.00,0.00,8.00,0.00,0.00,2.00,0.00,0.00,0.00,8.00
13:01:56,12,81.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,8.00
13:01:56,13,79.21,0.00,7.92,0.00,0.00,3.96,0.00,0.00,0.00,8.91
13:01:56,14,81.63,0.00,8.16,0.00,0.00,2.04,0.00,0.00,0.00,8.16
13:01:56,15,79.41,0.00,7.84,0.00,0.00,3.92,0.00,0.00,0.00,8.82
13:01:57,4,82.65,0.00,9.18,0.00,0.00,2.04,0.00,0.00,0.00,6.12
13:01:57,5,81.19,0.00,8.91,0.00,0.00,2.97,0.00,0.00,0.00,6.93
13:01:57,6,79.80,0.00,11.11,0.00,0.00,2.02,0.00,0.00,0.00,7.07
13:01:57,7,81.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,7.00
13:01:57,12,83.00,0.00,8.00,0.00,0.00,2.00,0.00,0.00,0.00,7.00
13:01:57,13,82.18,0.00,7.92,0.00,0.00,2.97,0.00,0.00,0.00,6.93
13:01:57,14,80.00,0.00,10.00,0.00,0.00,3.00,0.00,0.00,0.00,7.00
13:01:57,15,81.82,0.00,8.08,0.00,0.00,3.03,0.00,0.00,0.00,7.07
13:01:58,4,81.19,0.00,7.92,0.00,0.00,2.97,0.00,0.00,0.00,7.92
13:01:58,5,82.47,0.00,8.25,0.00,0.00,2.06,0.00,0.00,0.00,7.22
13:01:58,6,83.00,0.00,7.00,0.00,0.00,2.00,0.00,0.00,0.00,8.00
13:01:58,7,80.81,0.00,8.08,0.00,0.00,3.03,0.00,0.00,0.00,8.08
13:01:58,12,82.00,0.00,7.00,0.00,0.00,3.00,0.00,0.00,0.00,8.00
13:01:58,13,81.82,0.00,8.08,0.00,0.00,2.02,0.00,0.00,0.00,8.08
13:01:58,14,80.20,0.00,7.92,0.00,0.00,3.96,0.00,0.00,0.00,7.92
13:01:58,15,80.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,8.00
13:01:59,4,81.63,0.00,8.16,0.00,0.00,2.04,0.00,0.00,0.00,8.16
13:01:59,5,82.18,0.00,7.92,0.00,0.00,1.98,0.00,0.00,0.00,7.92
13:01:59,6,80.20,0.00,7.92,0.00,0.00,3.96,0.00,0.00,0.00,7.92
13:01:59,7,81.82,0.00,8.08,0.00,0.00,2.02,0.00,0.00,0.00,8.08
13:01:59,12,81.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,8.00
13:01:59,13,80.81,0.00,9.09,0.00,0.00,2.02,0.00,0.00,0.00,8.08
13:01:59,14,81.63,0.00,8.16,0.00,0.00,2.04,0.00,0.00,0.00,8.16
13:01:59,15,83.00,0.00,7.00,0.00,0.00,2.00,0.00,0.00,0.00,8.00
13:02:00,4,82.83,0.00,7.07,0.00,0.00,3.03,0.00,0.00,0.00,7.07
13:02:00,5,82.00,0.00,8.00,0.00,0.00,2.00,0.00,0.00,0.00,8.00
13:02:00,6,81.63,0.00,8.16,0.00,0.00,2.04,0.00,0.00,0.00,8.16
13:02:00,7,81.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,8.00
13:02:00,12,84.85,0.00,7.07,0.00,0.00,1.01,0.00,0.00,0.00,7.07
13:02:00,13,80.20,0.00,8.91,0.00,0.00,2.97,0.00,0.00,0.00,7.92
13:02:00,14,81.00,0.00,7.00,0.00,0.00,4.00,0.00,0.00,0.00,8.00
13:02:00,15,80.20,0.00,9.90,0.00,0.00,1.98,0.00,0.00,0.00,7.92
13:02:01,4,80.00,0.00,10.00,0.00,0.00,2.00,0.00,0.00,0.00,8.00
13:02:01,5,81.00,0.00,9.00,0.00,0.00,2.00,0.00,0.00,0.00,8.00
13:02:01,6,84.85,0.00,6.06,0.00,0.00,2.02,0.00,0.00,0.00,7.07
13:02:01,7,82.00,0.00,7.00,0.00,0.00,3.00,0.00,0.00,0.00,8.00
13:02:01,12,81.82,0.00,7.07,0.00,0.00,3.03,0.00,0.00,0.00,8.08
13:02:01,13,81.82,0.00,8.08,0.00,0.00,3.03,0.00,0.00,0.00,7.07
13:02:01,14,80.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,8.00
13:02:01,15,80.81,0.00,9.09,0.00,0.00,3.03,0.00,0.00,0.00,7.07
13:02:02,4,82.83,0.00,8.08,0.00,0.00,2.02,0.00,0.00,0.00,7.07
13:02:02,5,81.63,0.00,8.16,0.00,0.00,3.06,0.00,0.00,0.00,7.14
13:02:02,6,83.00,0.00,7.00,0.00,0.00,3.00,0.00,0.00,0.00,7.00
13:02:02,7,81.00,0.00,9.00,0.00,0.00,2.00,0.00,0.00,0.00,8.00
13:02:02,12,81.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,7.00
13:02:02,13,80.20,0.00,9.90,0.00,0.00,2.97,0.00,0.00,0.00,6.93
13:02:02,14,82.00,0.00,9.00,0.00,0.00,2.00,0.00,0.00,0.00,7.00
13:02:02,15,80.61,0.00,10.20,0.00,0.00,2.04,0.00,0.00,0.00,7.14
13:02:03,4,78.22,0.00,9.90,0.00,0.00,3.96,0.00,0.00,0.00,7.92
13:02:03,5,83.00,0.00,7.00,0.00,0.00,3.00,0.00,0.00,0.00,7.00
13:02:03,6,82.00,0.00,8.00,0.00,0.00,2.00,0.00,0.00,0.00,8.00
13:02:03,7,80.00,0.00,8.00,0.00,0.00,4.00,0.00,0.00,0.00,8.00
13:02:03,12,78.79,0.00,12.12,0.00,0.00,2.02,0.00,0.00,0.00,7.07
13:02:03,13,83.51,0.00,7.22,0.00,0.00,2.06,0.00,0.00,0.00,7.22
13:02:03,14,82.00,0.00,7.00,0.00,0.00,3.00,0.00,0.00,0.00,8.00
13:02:03,15,81.00,0.00,9.00,0.00,0.00,2.00,0.00,0.00,0.00,8.00
13:02:04,4,81.63,0.00,7.14,0.00,0.00,3.06,0.00,0.00,0.00,8.16
13:02:04,5,79.21,0.00,9.90,0.00,0.00,2.97,0.00,0.00,0.00,7.92
13:02:04,6,82.00,0.00,8.00,0.00,0.00,2.00,0.00,0.00,0.00,8.00
13:02:04,7,81.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,8.00
13:02:04,12,80.81,0.00,9.09,0.00,0.00,2.02,0.00,0.00,0.00,8.08
13:02:04,13,80.81,0.00,9.09,0.00,0.00,2.02,0.00,0.00,0.00,8.08
13:02:04,14,81.82,0.00,8.08,0.00,0.00,2.02,0.00,0.00,0.00,8.08
13:02:04,15,80.61,0.00,8.16,0.00,0.00,3.06,0.00,0.00,0.00,8.16
13:02:05,4,81.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,8.00
13:02:05,5,82.83,0.00,8.08,0.00,0.00,2.02,0.00,0.00,0.00,7.07
13:02:05,6,80.81,0.00,8.08,0.00,0.00,3.03,0.00,0.00,0.00,8.08
13:02:05,7,81.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,8.00
13:02:05,12,81.00,0.00,9.00,0.00,0.00,2.00,0.00,0.00,0.00,8.00
13:02:05,13,81.19,0.00,7.92,0.00,0.00,2.97,0.00,0.00,0.00,7.92
13:02:05,14,79.00,0.00,9.00,0.00,0.00,4.00,0.00,0.00,0.00,8.00
13:02:05,15,79.80,0.00,9.09,0.00,0.00,3.03,0.00,0.00,0.00,8.08
13:02:06,4,79.80,0.00,9.09,0.00,0.00,3.03,0.00,0.00,0.00,8.08
13:02:06,5,80.00,0.00,9.00,0.00,0.00,2.00,0.00,0.00,0.00,9.00
13:02:06,6,79.21,0.00,9.90,0.00,0.00,1.98,0.00,0.00,0.00,8.91
13:02:06,7,81.82,0.00,8.08,0.00,0.00,1.01,0.00,0.00,0.00,9.09
13:02:06,12,79.80,0.00,9.09,0.00,0.00,2.02,0.00,0.00,0.00,9.09
13:02:06,13,78.35,0.00,10.31,0.00,0.00,2.06,0.00,0.00,0.00,9.28
13:02:06,14,79.21,0.00,8.91,0.00,0.00,2.97,0.00,0.00,0.00,8.91
13:02:06,15,80.00,0.00,9.00,0.00,0.00,2.00,0.00,0.00,0.00,9.00
13:02:07,4,82.83,0.00,8.08,0.00,0.00,2.02,0.00,0.00,0.00,7.07
13:02:07,5,81.82,0.00,8.08,0.00,0.00,3.03,0.00,0.00,0.00,7.07
13:02:07,6,82.65,0.00,8.16,0.00,0.00,2.04,0.00,0.00,0.00,7.14
13:02:07,7,80.00,0.00,10.00,0.00,0.00,2.00,0.00,0.00,0.00,8.00
13:02:07,12,81.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,8.00
13:02:07,13,81.00,0.00,10.00,0.00,0.00,2.00,0.00,0.00,0.00,7.00
13:02:07,14,81.44,0.00,7.22,0.00,0.00,3.09,0.00,0.00,0.00,8.25
13:02:07,15,79.00,0.00,10.00,0.00,0.00,3.00,0.00,0.00,0.00,8.00
13:02:08,4,81.82,0.00,8.08,0.00,0.00,1.01,0.00,0.00,0.00,9.09
13:02:08,5,80.20,0.00,9.90,0.00,0.00,1.98,0.00,0.00,0.00,7.92
13:02:08,6,79.21,0.00,9.90,0.00,0.00,2.97,0.00,0.00,0.00,7.92
13:02:08,7,81.82,0.00,7.07,0.00,0.00,3.03,0.00,0.00,0.00,8.08
13:02:08,12,80.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,8.00
13:02:08,13,81.63,0.00,7.14,0.00,0.00,3.06,0.00,0.00,0.00,8.16
13:02:08,14,82.00,0.00,8.00,0.00,0.00,2.00,0.00,0.00,0.00,8.00
13:02:08,15,82.65,0.00,7.14,0.00,0.00,2.04,0.00,0.00,0.00,8.16
13:02:09,4,79.00,0.00,10.00,0.00,0.00,3.00,0.00,0.00,0.00,8.00
13:02:09,5,80.81,0.00,8.08,0.00,0.00,3.03,0.00,0.00,0.00,8.08
13:02:09,6,82.00,0.00,7.00,0.00,0.00,2.00,0.00,0.00,0.00,9.00
13:02:09,7,80.81,0.00,8.08,0.00,0.00,2.02,0.00,0.00,0.00,9.09
13:02:09,12,81.82,0.00,7.07,0.00,0.00,3.03,0.00,0.00,0.00,8.08
