05:04:45,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
05:04:46,4,19.15,0.00,9.57,0.00,0.00,2.13,0.00,0.00,0.00,69.15
05:04:46,5,18.09,0.00,12.77,0.00,0.00,2.13,0.00,0.00,0.00,67.02
05:04:46,6,12.50,0.00,10.42,0.00,0.00,2.08,0.00,0.00,0.00,75.00
05:04:46,7,9.78,0.00,9.78,0.00,0.00,2.17,0.00,0.00,0.00,78.26
05:04:46,12,9.78,0.00,7.61,0.00,0.00,2.17,0.00,0.00,0.00,80.43
05:04:46,13,10.64,0.00,9.57,0.00,0.00,2.13,0.00,0.00,0.00,77.66
05:04:46,14,12.50,0.00,8.33,0.00,0.00,3.12,0.00,0.00,0.00,76.04
05:04:46,15,10.64,0.00,9.57,0.00,0.00,2.13,0.00,0.00,0.00,77.66
05:04:47,4,22.58,0.00,17.20,0.00,0.00,4.30,0.00,0.00,0.00,55.91
05:04:47,5,22.73,0.00,15.91,0.00,0.00,4.55,0.00,0.00,0.00,56.82
05:04:47,6,19.54,0.00,16.09,0.00,0.00,5.75,0.00,0.00,0.00,58.62
05:04:47,7,21.59,0.00,15.91,0.00,0.00,4.55,0.00,0.00,0.00,57.95
05:04:47,12,21.35,0.00,16.85,0.00,0.00,3.37,0.00,0.00,0.00,58.43
05:04:47,13,21.59,0.00,13.64,0.00,0.00,5.68,0.00,0.00,0.00,59.09
05:04:47,14,22.47,0.00,16.85,0.00,0.00,3.37,0.00,0.00,0.00,57.30
05:04:47,15,20.45,0.00,14.77,0.00,0.00,5.68,0.00,0.00,0.00,59.09
05:04:48,4,20.69,0.00,16.09,0.00,0.00,5.75,0.00,0.00,0.00,57.47
05:04:48,5,21.59,0.00,15.91,0.00,0.00,4.55,0.00,0.00,0.00,57.95
05:04:48,6,18.39,0.00,18.39,0.00,0.00,4.60,0.00,0.00,0.00,58.62
05:04:48,7,18.18,0.00,17.05,0.00,0.00,4.55,0.00,0.00,0.00,60.23
05:04:48,12,21.35,0.00,15.73,0.00,0.00,5.62,0.00,0.00,0.00,57.30
05:04:48,13,23.33,0.00,15.56,0.00,0.00,5.56,0.00,0.00,0.00,55.56
05:04:48,14,19.10,0.00,20.22,0.00,0.00,4.49,0.00,0.00,0.00,56.18
05:04:48,15,20.00,0.00,16.67,0.00,0.00,5.56,0.00,0.00,0.00,57.78
05:04:49,4,20.88,0.00,17.58,1.10,0.00,5.49,0.00,0.00,0.00,54.95
05:04:49,5,22.47,0.00,13.48,0.00,0.00,5.62,0.00,0.00,0.00,58.43
05:04:49,6,23.08,0.00,15.38,0.00,0.00,4.40,0.00,0.00,0.00,57.14
05:04:49,7,21.11,0.00,17.78,0.00,0.00,3.33,0.00,0.00,0.00,57.78
05:04:49,12,18.89,0.00,17.78,0.00,0.00,4.44,0.00,0.00,0.00,58.89
05:04:49,13,19.32,0.00,17.05,0.00,0.00,4.55,0.00,0.00,0.00,59.09
05:04:49,14,21.59,0.00,14.77,0.00,0.00,4.55,0.00,0.00,0.00,59.09
05:04:49,15,18.68,0.00,19.78,0.00,0.00,4.40,0.00,0.00,0.00,57.14
05:04:50,4,19.77,0.00,16.28,0.00,0.00,4.65,0.00,0.00,0.00,59.30
05:04:50,5,22.73,0.00,15.91,0.00,0.00,4.55,0.00,0.00,0.00,56.82
05:04:50,6,20.88,0.00,17.58,0.00,0.00,5.49,0.00,0.00,0.00,56.04
05:04:50,7,19.32,0.00,18.18,0.00,0.00,4.55,0.00,0.00,0.00,57.95
