06:48:10,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
06:48:11,4,20.41,0.00,11.22,0.00,0.00,3.06,0.00,0.00,0.00,65.31
06:48:11,5,13.54,0.00,8.33,0.00,0.00,2.08,0.00,0.00,0.00,76.04
06:48:11,6,7.29,0.00,5.21,0.00,0.00,3.12,0.00,0.00,0.00,84.38
06:48:11,7,7.45,0.00,8.51,0.00,0.00,2.13,0.00,0.00,0.00,81.91
06:48:11,12,8.25,0.00,7.22,0.00,0.00,4.12,0.00,0.00,0.00,80.41
06:48:11,13,8.60,0.00,5.38,0.00,0.00,2.15,0.00,0.00,0.00,83.87
06:48:11,14,8.33,0.00,7.29,0.00,0.00,2.08,0.00,0.00,0.00,82.29
06:48:11,15,6.19,0.00,7.22,0.00,0.00,3.09,0.00,0.00,0.00,83.51
06:48:12,4,13.98,0.00,12.90,0.00,0.00,4.30,0.00,0.00,0.00,68.82
06:48:12,5,15.79,0.00,11.58,0.00,0.00,4.21,0.00,0.00,0.00,68.42
06:48:12,6,12.77,0.00,12.77,0.00,0.00,4.26,0.00,0.00,0.00,70.21
06:48:12,7,14.13,0.00,9.78,0.00,0.00,4.35,0.00,0.00,0.00,71.74
06:48:12,12,14.74,0.00,12.63,0.00,0.00,5.26,0.00,0.00,0.00,67.37
06:48:12,13,13.83,0.00,13.83,0.00,0.00,5.32,0.00,0.00,0.00,67.02
06:48:12,14,15.05,0.00,10.75,0.00,0.00,5.38,0.00,0.00,0.00,68.82
06:48:12,15,14.89,0.00,10.64,0.00,0.00,5.32,0.00,0.00,0.00,69.15
06:48:13,4,16.48,0.00,10.99,0.00,0.00,3.30,0.00,0.00,0.00,69.23
06:48:13,5,13.98,0.00,12.90,0.00,0.00,4.30,0.00,0.00,0.00,68.82
06:48:13,6,14.89,0.00,12.77,0.00,0.00,4.26,0.00,0.00,0.00,68.09
06:48:13,7,14.13,0.00,10.87,0.00,0.00,5.43,0.00,0.00,0.00,69.57
06:48:13,12,15.05,0.00,11.83,0.00,0.00,4.30,0.00,0.00,0.00,68.82
06:48:13,13,15.22,0.00,14.13,0.00,0.00,5.43,0.00,0.00,0.00,65.22
06:48:13,14,15.05,0.00,11.83,0.00,0.00,5.38,0.00,0.00,0.00,67.74
