07:08:31,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
07:08:32,4,11.22,0.00,9.18,0.00,0.00,2.04,0.00,0.00,0.00,77.55
07:08:32,5,16.67,0.00,11.46,0.00,0.00,3.12,0.00,0.00,0.00,68.75
07:08:32,6,10.42,0.00,6.25,0.00,0.00,2.08,0.00,0.00,0.00,81.25
07:08:32,7,9.18,0.00,8.16,0.00,0.00,1.02,0.00,0.00,0.00,81.63
07:08:32,12,7.14,0.00,6.12,0.00,0.00,3.06,0.00,0.00,0.00,83.67
07:08:32,13,6.32,0.00,7.37,0.00,0.00,2.11,0.00,0.00,0.00,84.21
07:08:32,14,9.38,0.00,7.29,0.00,0.00,2.08,0.00,0.00,0.00,81.25
07:08:32,15,8.25,0.00,7.22,0.00,0.00,2.06,0.00,0.00,0.00,82.47
07:08:33,4,15.05,0.00,12.90,0.00,0.00,4.30,0.00,0.00,0.00,67.74
07:08:33,5,15.05,0.00,15.05,0.00,0.00,5.38,0.00,0.00,0.00,64.52
07:08:33,6,15.22,0.00,11.96,0.00,0.00,4.35,0.00,0.00,0.00,68.48
07:08:33,7,12.77,0.00,11.70,0.00,0.00,4.26,0.00,0.00,0.00,71.28
07:08:33,12,14.29,0.00,12.09,0.00,0.00,4.40,0.00,0.00,0.00,69.23
07:08:33,13,18.28,0.00,12.90,0.00,0.00,4.30,0.00,0.00,0.00,64.52
07:08:33,14,14.13,0.00,15.22,0.00,0.00,5.43,0.00,0.00,0.00,65.22
07:08:33,15,15.38,0.00,12.09,0.00,0.00,4.40,0.00,0.00,0.00,68.13
07:08:34,4,14.89,0.00,10.64,0.00,0.00,5.32,0.00,0.00,0.00,69.15
07:08:34,5,15.22,0.00,11.96,0.00,0.00,5.43,0.00,0.00,0.00,67.39
07:08:34,6,13.98,0.00,11.83,0.00,0.00,5.38,0.00,0.00,0.00,68.82
07:08:34,7,13.19,0.00,10.99,0.00,0.00,5.49,0.00,0.00,0.00,70.33
07:08:34,12,14.13,0.00,9.78,0.00,0.00,5.43,0.00,0.00,0.00,70.65
07:08:34,13,13.68,0.00,12.63,0.00,0.00,6.32,0.00,0.00,0.00,67.37
07:08:34,14,15.79,0.00,12.63,0.00,0.00,4.21,0.00,0.00,0.00,67.37
07:08:34,15,14.74,0.00,11.58,0.00,0.00,3.16,0.00,0.00,0.00,70.53
07:08:35,4,13.83,0.00,11.70,0.00,0.00,4.26,0.00,0.00,0.00,70.21
