07:51:05,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
07:51:06,4,13.40,0.00,9.28,0.00,0.00,2.06,0.00,0.00,0.00,75.26
07:51:06,5,12.90,0.00,8.60,1.08,0.00,1.08,0.00,0.00,0.00,76.34
07:51:06,6,8.25,0.00,7.22,1.03,0.00,3.09,0.00,0.00,0.00,80.41
07:51:06,7,6.25,0.00,5.21,0.00,0.00,2.08,0.00,0.00,0.00,86.46
07:51:06,12,8.25,0.00,7.22,0.00,0.00,3.09,0.00,0.00,0.00,81.44
07:51:06,13,8.33,0.00,6.25,1.04,0.00,2.08,0.00,0.00,0.00,82.29
07:51:06,14,8.16,0.00,7.14,0.00,0.00,3.06,0.00,0.00,0.00,81.63
07:51:06,15,6.38,0.00,4.26,0.00,0.00,2.13,0.00,0.00,0.00,87.23
07:51:07,4,16.30,0.00,9.78,0.00,0.00,5.43,0.00,0.00,0.00,68.48
07:51:07,5,13.98,0.00,13.98,0.00,0.00,4.30,0.00,0.00,0.00,67.74
07:51:07,6,13.04,0.00,11.96,0.00,0.00,4.35,0.00,0.00,0.00,70.65
07:51:07,7,12.37,0.00,12.37,0.00,0.00,6.19,0.00,0.00,0.00,69.07
07:51:07,12,13.33,0.00,11.11,0.00,0.00,4.44,0.00,0.00,0.00,71.11
07:51:07,13,15.38,0.00,12.09,0.00,0.00,4.40,0.00,0.00,0.00,68.13
07:51:07,14,16.13,0.00,13.98,0.00,0.00,4.30,0.00,0.00,0.00,65.59
07:51:07,15,15.79,0.00,11.58,0.00,0.00,4.21,0.00,0.00,0.00,68.42
07:51:08,4,14.13,0.00,10.87,0.00,0.00,4.35,0.00,0.00,0.00,70.65
07:51:08,5,15.05,0.00,10.75,0.00,0.00,5.38,0.00,0.00,0.00,68.82
07:51:08,6,14.29,0.00,10.99,0.00,0.00,3.30,0.00,0.00,0.00,71.43
07:51:08,7,13.98,0.00,12.90,0.00,0.00,4.30,0.00,0.00,0.00,68.82
07:51:08,12,14.43,0.00,14.43,0.00,0.00,4.12,0.00,0.00,0.00,67.01
07:51:08,13,13.04,0.00,13.04,0.00,0.00,4.35,0.00,0.00,0.00,69.57
07:51:08,14,12.63,0.00,13.68,0.00,0.00,5.26,0.00,0.00,0.00,68.42
07:51:08,15,11.96,0.00,11.96,0.00,0.00,5.43,0.00,0.00,0.00,70.65
07:51:09,4,15.38,0.00,13.19,0.00,0.00,3.30,0.00,0.00,0.00,68.13
07:51:09,5,12.22,0.00,13.33,0.00,0.00,3.33,0.00,0.00,0.00,71.11
07:51:09,6,15.05,0.00,11.83,0.00,0.00,5.38,0.00,0.00,0.00,67.74
07:51:09,7,13.33,0.00,11.11,2.22,0.00,5.56,0.00,0.00,0.00,67.78
07:51:09,12,14.29,0.00,12.09,0.00,0.00,4.40,0.00,0.00,0.00,69.23
07:51:09,13,15.22,0.00,11.96,0.00,0.00,5.43,0.00,0.00,0.00,67.39
07:51:09,14,13.83,0.00,13.83,0.00,0.00,5.32,0.00,0.00,0.00,67.02
07:51:09,15,13.83,0.00,12.77,0.00,0.00,4.26,0.00,0.00,0.00,69.15
07:51:10,4,14.13,0.00,13.04,0.00,0.00,5.43,0.00,0.00,0.00,67.39
07:51:10,5,13.83,0.00,12.77,0.00,0.00,5.32,0.00,0.00,0.00,68.09
07:51:10,6,11.83,0.00,12.90,0.00,0.00,5.38,0.00,0.00,0.00,69.89
07:51:10,7,12.37,0.00,12.37,0.00,0.00,4.12,0.00,0.00,0.00,71.13
07:51:10,12,12.90,0.00,12.90,0.00,0.00,5.38,0.00,0.00,0.00,68.82
07:51:10,13,12.90,0.00,13.98,0.00,0.00,5.38,0.00,0.00,0.00,67.74
07:51:10,14,12.90,0.00,10.75,0.00,0.00,5.38,0.00,0.00,0.00,70.97
07:51:10,15,11.70,0.00,11.70,0.00,0.00,4.26,0.00,0.00,0.00,72.34
07:51:11,4,15.05,0.00,15.05,0.00,0.00,4.30,0.00,0.00,0.00,65.59
07:51:11,5,15.56,0.00,12.22,1.11,0.00,4.44,0.00,0.00,0.00,66.67
07:51:11,6,14.44,0.00,10.00,0.00,0.00,4.44,0.00,0.00,0.00,71.11
07:51:11,7,11.36,0.00,10.23,0.00,0.00,4.55,0.00,0.00,0.00,73.86
07:51:11,12,15.05,0.00,11.83,0.00,0.00,4.30,0.00,0.00,0.00,68.82
07:51:11,13,16.13,0.00,12.90,0.00,0.00,4.30,0.00,0.00,0.00,66.67
07:51:11,14,13.19,0.00,10.99,0.00,0.00,4.40,0.00,0.00,0.00,71.43
07:51:11,15,11.83,0.00,10.75,0.00,0.00,5.38,0.00,0.00,0.00,72.04
07:51:12,4,15.96,0.00,10.64,0.00,0.00,4.26,0.00,0.00,0.00,69.15
07:51:12,5,13.19,0.00,12.09,0.00,0.00,5.49,0.00,0.00,0.00,69.23
07:51:12,6,14.89,0.00,10.64,0.00,0.00,5.32,0.00,0.00,0.00,69.15
07:51:12,7,13.68,0.00,13.68,0.00,0.00,4.21,0.00,0.00,0.00,68.42
07:51:12,12,11.96,0.00,14.13,0.00,0.00,5.43,0.00,0.00,0.00,68.48
07:51:12,13,14.89,0.00,12.77,0.00,0.00,4.26,0.00,0.00,0.00,68.09
07:51:12,14,13.83,0.00,10.64,0.00,0.00,6.38,0.00,0.00,0.00,69.15
07:51:12,15,13.54,0.00,11.46,0.00,0.00,6.25,0.00,0.00,0.00,68.75
07:51:13,4,12.77,0.00,11.70,0.00,0.00,5.32,0.00,0.00,0.00,70.21
07:51:13,5,14.13,0.00,13.04,0.00,0.00,4.35,0.00,0.00,0.00,68.48
07:51:13,6,15.05,0.00,11.83,0.00,0.00,4.30,0.00,0.00,0.00,68.82
07:51:13,7,12.90,0.00,10.75,0.00,0.00,6.45,0.00,0.00,0.00,69.89
07:51:13,12,13.54,0.00,13.54,0.00,0.00,5.21,0.00,0.00,0.00,67.71
07:51:13,13,15.22,0.00,14.13,0.00,0.00,5.43,0.00,0.00,0.00,65.22
07:51:13,14,13.98,0.00,11.83,0.00,0.00,4.30,0.00,0.00,0.00,69.89
07:51:13,15,13.83,0.00,12.77,0.00,0.00,4.26,0.00,0.00,0.00,69.15
07:51:14,4,15.05,0.00,12.90,0.00,0.00,4.30,0.00,0.00,0.00,67.74
07:51:14,5,15.38,0.00,12.09,2.20,0.00,3.30,0.00,0.00,0.00,67.03
07:51:14,6,14.13,0.00,11.96,0.00,0.00,3.26,0.00,0.00,0.00,70.65
