08:11:09,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
08:11:10,4,16.67,0.00,10.42,0.00,0.00,3.12,0.00,0.00,0.00,69.79
08:11:10,5,13.68,0.00,13.68,0.00,0.00,2.11,0.00,0.00,0.00,70.53
08:11:10,6,10.42,0.00,8.33,0.00,0.00,3.12,0.00,0.00,0.00,78.12
08:11:10,7,10.42,0.00,5.21,0.00,0.00,3.12,0.00,0.00,0.00,81.25
08:11:10,12,8.33,0.00,9.38,0.00,0.00,2.08,0.00,0.00,0.00,80.21
08:11:10,13,8.60,0.00,7.53,0.00,0.00,2.15,0.00,0.00,0.00,81.72
08:11:10,14,8.60,0.00,7.53,0.00,0.00,2.15,0.00,0.00,0.00,81.72
08:11:10,15,10.31,0.00,7.22,0.00,0.00,2.06,0.00,0.00,0.00,80.41
08:11:11,4,18.48,0.00,13.04,0.00,0.00,6.52,0.00,0.00,0.00,61.96
08:11:11,5,16.48,0.00,19.78,0.00,0.00,5.49,0.00,0.00,0.00,58.24
08:11:11,6,17.78,0.00,14.44,0.00,0.00,5.56,0.00,0.00,0.00,62.22
08:11:11,7,17.39,0.00,13.04,0.00,0.00,5.43,0.00,0.00,0.00,64.13
08:11:11,12,17.20,0.00,16.13,0.00,0.00,5.38,0.00,0.00,0.00,61.29
08:11:11,13,16.48,0.00,15.38,0.00,0.00,5.49,0.00,0.00,0.00,62.64
08:11:11,14,20.65,0.00,15.22,0.00,0.00,5.43,0.00,0.00,0.00,58.70
08:11:11,15,16.30,0.00,14.13,0.00,0.00,6.52,0.00,0.00,0.00,63.04
08:11:12,4,15.56,0.00,15.56,0.00,0.00,3.33,0.00,0.00,0.00,65.56
08:11:12,5,15.38,0.00,15.38,0.00,0.00,4.40,0.00,0.00,0.00,64.84
08:11:12,6,17.02,0.00,15.96,0.00,0.00,4.26,0.00,0.00,0.00,62.77
08:11:12,7,17.02,0.00,12.77,0.00,0.00,6.38,0.00,0.00,0.00,63.83
08:11:12,12,15.22,0.00,13.04,0.00,0.00,6.52,0.00,0.00,0.00,65.22
08:11:12,13,15.56,0.00,15.56,0.00,0.00,5.56,0.00,0.00,0.00,63.33
08:11:12,14,17.39,0.00,16.30,0.00,0.00,4.35,0.00,0.00,0.00,61.96
08:11:12,15,16.30,0.00,14.13,0.00,0.00,5.43,0.00,0.00,0.00,64.13
08:11:13,4,16.13,0.00,13.98,0.00,0.00,6.45,0.00,0.00,0.00,63.44
08:11:13,5,17.20,0.00,12.90,0.00,0.00,6.45,0.00,0.00,0.00,63.44
08:11:13,6,16.13,0.00,15.05,0.00,0.00,5.38,0.00,0.00,0.00,63.44
08:11:13,7,13.98,0.00,13.98,0.00,0.00,5.38,0.00,0.00,0.00,66.67
08:11:13,12,14.29,0.00,17.58,0.00,0.00,5.49,0.00,0.00,0.00,62.64
08:11:13,13,17.78,0.00,11.11,0.00,0.00,6.67,0.00,0.00,0.00,64.44
08:11:13,14,15.38,0.00,13.19,0.00,0.00,6.59,0.00,0.00,0.00,64.84
08:11:13,15,16.84,0.00,13.68,0.00,0.00,5.26,0.00,0.00,0.00,64.21
08:11:14,4,16.85,0.00,13.48,0.00,0.00,5.62,0.00,0.00,0.00,64.04
08:11:14,5,18.09,0.00,14.89,0.00,0.00,5.32,0.00,0.00,0.00,61.70
08:11:14,6,17.02,0.00,14.89,0.00,0.00,6.38,0.00,0.00,0.00,61.70
08:11:14,7,15.05,0.00,15.05,0.00,0.00,5.38,0.00,0.00,0.00,64.52
