
 Version: 2.1
 Chunks: 20
 Start: 2026-08-10 13:18:31 (UTC)
 Duration: 874 s

 Event Type                              Count  Size (bytes) 
=============================================================
 jdk.GCPhaseParallel                   3876099     111410424
 jdk.ObjectAllocationSample             253395       5038257
 jdk.ExecutionSample                    252113       3859768
 jdk.SocketRead                         252022      11839731
 jdk.PromoteObjectInNewPLAB             149128       2871709
 jdk.TenuringDistribution                70200        986576
 jdk.PromoteObjectOutsidePLAB            64844       1102348
 jdk.NativeMethodSample                  42723        567059
 jdk.ModuleExport                        32860        391080
 jdk.NativeMemoryUsage                   24192        360368
 jdk.GCReferenceStatistics               18724        224690
 jdk.MetaspaceChunkFreeListSummary       18724        374480
 jdk.GCPhasePauseLevel1                  14049        594453
 jdk.BooleanFlag                          9720        306180
 jdk.G1HeapSummary                        9362        278574
 jdk.GCHeapSummary                        9362        382758
 jdk.MetaspaceSummary                     9362        496186
 jdk.ActiveSetting                        7980        223146
 jdk.ThreadPark                           5169        202210
 jdk.ExecuteVMOperation                   4780        100992
 jdk.SafepointBegin                       4750         74316
 jdk.G1MMU                                4682         70230
 jdk.GCCPUTime                            4682         79211
 jdk.GCPhasePause                         4682        117027
 jdk.GarbageCollection                    4681        116932
 jdk.EvacuationInformation                4680        149703
 jdk.G1AdaptiveIHOP                       4680        209458
 jdk.G1BasicIHOP                          4680        204734
 jdk.G1EvacuationOldStatistics            4680        121804
 jdk.G1EvacuationYoungStatistics          4680        135811
 jdk.G1GarbageCollection                  4680         70169
 jdk.YoungGarbageCollection               4680         70169
 jdk.Checkpoint                           3716     104273911
 jdk.ModuleRequire                        3220         35420
 jdk.LongFlag                             2720         90100
 jdk.UnsignedLongFlag                     1700         57920
 jdk.InitialEnvironmentVariable           1420        113100
 jdk.ThreadAllocationStatistics           1202         14140
 jdk.SocketWrite                          1181         53341
 jdk.ThreadCPULoad                        1049         17953
 jdk.InitialSecurityProperty               900         47300
 jdk.IntFlag                               880         32300
 jdk.CPULoad                               864         17280
 jdk.ClassLoadingStatistics                864         10368
 jdk.CompilerStatistics                    864         27648
 jdk.ExceptionStatistics                   864         10368
 jdk.JavaThreadStatistics                  864         10368
 jdk.NativeMemoryUsageTotal                864         15552
 jdk.ResidentSetSize                       864         15552
 jdk.UnsignedIntFlag                       840         28360
 jdk.NativeLibrary                         760         40600
 jdk.StringFlag                            680         20820
 jdk.CompilerQueueUtilization              346          7093
 jdk.NetworkUtilization                    331          5290
 jdk.DoubleFlag                            320         13220
 jdk.InitialSystemProperty                 320         17220
 jdk.Deoptimization                        262          8054
 jdk.OldObjectSample                       255          9060
 jdk.JavaExceptionThrow                    181          8097
 jdk.DirectBufferStatistics                173          3460
 jdk.ClassLoaderStatistics                 140          3820
 jdk.CodeCacheStatistics                   120          4080
 jdk.GCHeapMemoryPoolUsage                 120          4808
 jdk.ThreadSleep                           103          2369
 jdk.StringTableStatistics                  86          3354
 jdk.SymbolTableStatistics                  86          3354
 jdk.ThreadContextSwitchRate                86          1032
 jdk.JavaMonitorWait                        45          1439
 jdk.GCConfiguration                        40          1040
 jdk.GCHeapMemoryUsage                      40           919
 jdk.JavaMonitorStatistics                  40           360
 jdk.PhysicalMemory                         40           760
 jdk.SwapSpace                              40           720
 jdk.ActiveRecording                        20          1540
 jdk.CPUInformation                         20         30320
 jdk.CPUTimeStampCounter                    20           400
 jdk.CodeCacheConfiguration                 20           940
 jdk.CompilerConfiguration                  20           240
 jdk.GCHeapConfiguration                    20           560
 jdk.GCSurvivorConfiguration                20           220
 jdk.GCTLABConfiguration                    20           260
 jdk.JVMInformation                         20          6880
 jdk.Metadata                               20       2244760
 jdk.OSInformation                          20          4900
 jdk.VirtualizationInformation              20           720
 jdk.YoungGenerationConfiguration           20           360
 jdk.ThreadDump                             14       1112857
 jdk.GCPhasePauseLevel2                     10           371
 jdk.GCPhaseConcurrent                       6           286
 jdk.ThreadEnd                               5            66
 jdk.ThreadStart                             5            84
 jdk.GCPhaseConcurrentLevel1                 4           159
 jdk.JavaMonitorEnter                        1            28
 jdk.MetaspaceGCThreshold                    1            17
 jdk.OldGarbageCollection                    1            14
 jdk.AllocationRequiringGC                   0             0
 jdk.BooleanFlagChanged                      0             0
 jdk.CPUTimeSample                           0             0
 jdk.CPUTimeSamplesLost                      0             0
 jdk.ClassDefine                             0             0
 jdk.ClassLoad                               0             0
 jdk.ClassRedefinition                       0             0
 jdk.ClassUnload                             0             0
 jdk.CodeCacheFull                           0             0
 jdk.Compilation                             0             0
 jdk.CompilationFailure                      0             0
 jdk.CompilerInlining                        0             0
 jdk.CompilerPhase                           0             0
 jdk.ConcurrentModeFailure                   0             0
 jdk.ContainerCPUThrottling                  0             0
 jdk.ContainerCPUUsage                       0             0
 jdk.ContainerConfiguration                  0             0
 jdk.ContainerIOUsage                        0             0
 jdk.ContainerMemoryUsage                    0             0
 jdk.ContinuationFreeze                      0             0
 jdk.ContinuationFreezeFast                  0             0
 jdk.ContinuationFreezeSlow                  0             0
 jdk.ContinuationThaw                        0             0
 jdk.ContinuationThawFast                    0             0
 jdk.ContinuationThawSlow                    0             0
 jdk.DataLoss                                0             0
 jdk.DeprecatedInvocation                    0             0
 jdk.Deserialization                         0             0
 jdk.DoubleFlagChanged                       0             0
 jdk.DumpReason                              0             0
 jdk.EvacuationFailed                        0             0
 jdk.FileForce                               0             0
 jdk.FileRead                                0             0
 jdk.FileWrite                               0             0
 jdk.FinalFieldMutation                      0             0
 jdk.FinalizerStatistics                     0             0
 jdk.Flush                                   0             0
 jdk.G1HeapRegionInformation                 0             0
 jdk.G1HeapRegionTypeChange                  0             0
 jdk.GCPhaseConcurrentLevel2                 0             0
 jdk.GCPhasePauseLevel3                      0             0
 jdk.GCPhasePauseLevel4                      0             0
 jdk.HeapDump                                0             0
 jdk.IntFlagChanged                          0             0
 jdk.JITRestart                              0             0
 jdk.JavaAgent                               0             0
 jdk.JavaErrorThrow                          0             0
 jdk.JavaMonitorDeflate                      0             0
 jdk.JavaMonitorInflate                      0             0
 jdk.JavaMonitorNotify                       0             0
 jdk.LongFlagChanged                         0             0
 jdk.MetaspaceAllocationFailure              0             0
 jdk.MetaspaceOOM                            0             0
