
 Version: 2.1
 Chunks: 19
 Start: 2026-08-10 13:33:07 (UTC)
 Duration: 1213 s

 Event Type                              Count  Size (bytes) 
=============================================================
 jdk.GCPhaseParallel                   1747070      50161610
 jdk.SocketRead                         347629      16299329
 jdk.ObjectAllocationSample             346778       6809630
 jdk.ExecutionSample                    126041       1961090
 jdk.NativeMethodSample                  59314        799421
 jdk.PromoteObjectInNewPLAB              54213       1048194
 jdk.NativeMemoryUsage                   33768        503101
 jdk.TenuringDistribution                30960        390390
 jdk.ModuleExport                        23332        276906
 jdk.ThreadPark                          19876        777481
 jdk.BooleanFlag                          9234        290871
 jdk.GCReferenceStatistics                8256         98628
 jdk.MetaspaceChunkFreeListSummary        8256        164640
 jdk.ActiveSetting                        7600        203700
 jdk.GCPhasePauseLevel1                   6192        261803
 jdk.SocketWrite                          5864        263354
 jdk.Checkpoint                           5379     154372631
 jdk.G1HeapSummary                        4128        119453
 jdk.GCHeapSummary                        4128        166944
 jdk.MetaspaceSummary                     4128        218544
 jdk.ModuleRequire                        3021         33231
 jdk.LongFlag                             2584         85595
 jdk.ExecuteVMOperation                   2185         46291
 jdk.SafepointBegin                       2145         33746
 jdk.EvacuationInformation                2064         65907
 jdk.G1AdaptiveIHOP                       2064         90687
 jdk.G1BasicIHOP                          2064         84891
 jdk.G1EvacuationOldStatistics            2064         43924
 jdk.G1EvacuationYoungStatistics          2064         59771
 jdk.G1GarbageCollection                  2064         30746
 jdk.G1MMU                                2064         30840
 jdk.GCCPUTime                            2064         33963
 jdk.GCPhasePause                         2064         51386
 jdk.GarbageCollection                    2064         51198
 jdk.YoungGarbageCollection               2064         30746
 jdk.UnsignedLongFlag                     1615         55024
 jdk.ThreadCPULoad                        1515         26055
 jdk.InitialEnvironmentVariable           1292         90003
 jdk.CPULoad                              1206         24120
 jdk.ClassLoadingStatistics               1206         13266
 jdk.CompilerStatistics                   1206         37382
 jdk.ExceptionStatistics                  1206         13254
 jdk.JavaThreadStatistics                 1206         14472
 jdk.NativeMemoryUsageTotal               1206         21708
 jdk.ResidentSetSize                      1206         21708
 jdk.ThreadAllocationStatistics           1149         13627
 jdk.InitialSecurityProperty               855         44080
 jdk.JavaExceptionThrow                    838         19971
 jdk.IntFlag                               836         30685
 jdk.ThreadSleep                           823         17605
 jdk.UnsignedIntFlag                       798         26942
 jdk.NativeLibrary                         722         38570
 jdk.StringFlag                            646         19779
 jdk.SystemProcess                         566         53514
 jdk.CompilerQueueUtilization              482          9648
 jdk.NetworkUtilization                    459          7314
 jdk.DoubleFlag                            304         12559
 jdk.InitialSystemProperty                 285         15960
 jdk.DirectBufferStatistics                241          4579
 jdk.Deoptimization                        228          6060
 jdk.PromoteObjectOutsidePLAB              224          3744
 jdk.OldObjectSample                       161          5653
 jdk.StringTableStatistics                 120          4680
 jdk.SymbolTableStatistics                 120          4680
 jdk.ThreadContextSwitchRate               120          1440
 jdk.CodeCacheStatistics                   114          3876
 jdk.GCHeapMemoryPoolUsage                 114          4543
 jdk.ClassLoaderStatistics                 100          2840
 jdk.JavaMonitorWait                        61          1939
 jdk.GCConfiguration                        38           988
 jdk.GCHeapMemoryUsage                      38           859
 jdk.JavaMonitorStatistics                  38           342
 jdk.PhysicalMemory                         38           722
 jdk.SwapSpace                              38           684
 jdk.ThreadStart                            27           523
 jdk.Compilation                            26           783
 jdk.ThreadEnd                              26           398
 jdk.ThreadDump                             20       1098344
 jdk.ActiveRecording                        19          1346
 jdk.CPUInformation                         19         28804
 jdk.CPUTimeStampCounter                    19           380
 jdk.ClassRedefinition                      19           228
 jdk.CodeCacheConfiguration                 19           893
 jdk.CompilerConfiguration                  19           228
 jdk.GCHeapConfiguration                    19           532
 jdk.GCSurvivorConfiguration                19           209
 jdk.GCTLABConfiguration                    19           247
 jdk.JVMInformation                         19          6099
 jdk.Metadata                               19       2132522
 jdk.OSInformation                          19          4655
 jdk.VirtualizationInformation              19           684
 jdk.YoungGenerationConfiguration           19           342
 jdk.GCPhasePauseLevel2                     16           462
 jdk.CompilationFailure                      4           196
 jdk.RetransformClasses                      1            16
 jdk.AllocationRequiringGC                   0             0
 jdk.BooleanFlagChanged                      0             0
 jdk.CPUTimeSample                           0             0
 jdk.CPUTimeSamplesLost                      0             0
 jdk.ClassDefine                             0             0
 jdk.ClassLoad                               0             0
 jdk.ClassUnload                             0             0
 jdk.CodeCacheFull                           0             0
 jdk.CompilerInlining                        0             0
 jdk.CompilerPhase                           0             0
 jdk.ConcurrentModeFailure                   0             0
 jdk.ContainerCPUThrottling                  0             0
 jdk.ContainerCPUUsage                       0             0
 jdk.ContainerConfiguration                  0             0
 jdk.ContainerIOUsage                        0             0
 jdk.ContainerMemoryUsage                    0             0
 jdk.ContinuationFreeze                      0             0
 jdk.ContinuationFreezeFast                  0             0
 jdk.ContinuationFreezeSlow                  0             0
 jdk.ContinuationThaw                        0             0
 jdk.ContinuationThawFast                    0             0
 jdk.ContinuationThawSlow                    0             0
 jdk.DataLoss                                0             0
 jdk.DeprecatedInvocation                    0             0
 jdk.Deserialization                         0             0
 jdk.DoubleFlagChanged                       0             0
 jdk.DumpReason                              0             0
 jdk.EvacuationFailed                        0             0
 jdk.FileForce                               0             0
 jdk.FileRead                                0             0
 jdk.FileWrite                               0             0
 jdk.FinalFieldMutation                      0             0
 jdk.FinalizerStatistics                     0             0
 jdk.Flush                                   0             0
 jdk.G1HeapRegionInformation                 0             0
 jdk.G1HeapRegionTypeChange                  0             0
 jdk.GCPhaseConcurrent                       0             0
 jdk.GCPhaseConcurrentLevel1                 0             0
 jdk.GCPhaseConcurrentLevel2                 0             0
 jdk.GCPhasePauseLevel3                      0             0
 jdk.GCPhasePauseLevel4                      0             0
 jdk.HeapDump                                0             0
 jdk.IntFlagChanged                          0             0
 jdk.JITRestart                              0             0
 jdk.JavaAgent                               0             0
 jdk.JavaErrorThrow                          0             0
 jdk.JavaMonitorDeflate                      0             0
 jdk.JavaMonitorEnter                        0             0
 jdk.JavaMonitorInflate                      0             0
 jdk.JavaMonitorNotify                       0             0
 jdk.LongFlagChanged                         0             0
 jdk.MetaspaceAllocationFailure              0             0
 jdk.MetaspaceGCThreshold                    0             0
 jdk.MetaspaceOOM                            0             0
 jdk.MethodTiming                            0             0
 jdk.MethodTrace                             0             0
 jdk.NativeAgent                             0             0
 jdk.NativeLibraryLoad                       0             0
 jdk.NativeLibraryUnload                     0             0
 jdk.ObjectAllocationInNewTLAB               0             0
 jdk.ObjectAllocationOutsideTLAB             0             0
 jdk.ObjectCount                             0             0
 jdk.ObjectCountAfterGC                      0             0
 jdk.OldGarbageCollection                    0             0
 jdk.PSHeapSummary                           0             0
 jdk.ParallelOldGarbageCollection            0             0
 jdk.ProcessStart                            0             0
 jdk.PromotionFailed                         0             0
 jdk.RedefineClasses                         0             0
 jdk.ReservedStackActivation                 0             0
 jdk.SafepointEnd                            0             0
 jdk.SafepointLatency                        0             0
 jdk.SafepointStateSynchronization           0             0
 jdk.SecurityPropertyModification            0             0
 jdk.SecurityProviderService                 0             0
 jdk.SerializationMisdeclaration             0             0
 jdk.ShenandoahEvacuationInformation         0             0
 jdk.ShenandoahHeapRegionInformation         0             0
 jdk.ShenandoahHeapRegionStateChange         0             0
 jdk.Shutdown                                0             0
 jdk.StringDeduplication                     0             0
 jdk.StringFlagChanged                       0             0
 jdk.SyncOnValueBasedClass                   0             0
 jdk.SystemGC                                0             0
 jdk.TLSHandshake                            0             0
 jdk.UnsignedIntFlagChanged                  0             0
