epoch_ms,utime_ticks,stime_ticks,rss_kb,vmsize_kb,threads,vmhwm_kb,smaps_rss_kb,cgroup_mem_kb
1781968519125215221,98693,34965,3561256,21256844,51,4010224,3561796,5473756
1781968520220289986,99106,35046,3563432,21256844,51,4010224,3563756,5480616
1781968521486693093,99609,35166,3568680,21256844,51,4010224,3569140,5486308
1781968522716098707,100106,35268,3569448,21256844,51,4010224,3569836,5488824
1781968524161402775,100620,35423,3569576,21256844,50,4010224,3570020,5490836
1781968525641516298,101114,35606,3569576,21256844,50,4010224,3570028,5490484
1781968526913375118,101517,35752,3569576,21256844,50,4010224,3570036,5491260
178196852846251939,101884,35888,3569576,21256844,50,4010224,3570036,5491276
1781968529189885746,102254,36021,3569704,21256844,50,4010224,3570056,5492572
1781968530526618203,102671,36181,3569704,21256844,50,4010224,3570064,5493120
1781968531719432903,103056,36321,3569704,21256844,50,4010224,3570068,5492744
1781968532997586291,103460,36471,3569704,21256844,50,4010224,3570080,5494804
1781968534156994105,103829,36603,3569704,21256844,50,4010224,3570084,5494772
1781968535464514402,104246,36757,3569704,21256844,50,4010224,3570084,5495752
1781968536878557852,104706,36924,3569704,21256844,50,4010224,3570084,5498596
1781968538462989970,105201,37108,3569704,21256844,50,4010224,3570108,5498672
1781968539702565643,105599,37269,3569704,21256844,50,4010224,3570116,5499324
1781968540881359911,105978,37410,3569704,21256844,50,4010224,3570116,5500656
178196854223118294,106355,37547,3569704,21256844,50,4010224,3570128,5501260
1781968543453394999,106808,37721,3569704,21256844,50,4010224,3570144,5502088
1781968544684198254,107208,37869,3569704,21256844,50,4010224,3570152,5503164
1781968546104660154,107629,38029,3569704,21256844,50,4010224,3570160,5504100
1781968547428071197,108093,38194,3569704,21256844,50,4010224,3570168,5504324
1781968548931130966,108501,38338,3569704,21256844,50,4010224,3570168,5505920
1781968550136636483,108967,38524,3569704,21256844,50,4010224,3570172,5506596
1781968551262616861,109320,38655,3569832,21256844,50,4010224,3570176,5507976
1781968552447083656,109703,38795,3569832,21256844,50,4010224,3570196,5508512
1781968553901253325,110172,38972,3569832,21256844,50,4010224,3570196,5509976
1781968555326171039,110601,39129,3569832,21256844,50,4010224,3570204,5511032
1781968556990739968,111177,39347,3569832,21256844,50,4010224,3570212,5511992
1781968558270894384,111554,39491,3569832,21256844,50,4010224,3570216,5512524
1781968559517649669,111884,39620,3569832,21256844,50,4010224,3570220,5512808
1781968560774367023,112281,39773,3569832,21256844,50,4010224,3570224,5515240
178196856236015088,112693,39930,3569832,21256844,50,4010224,3570236,5516392
1781968563578365544,113163,40104,3569832,21256844,50,4010224,3570240,5517012
1781968564730911219,113527,40239,3569832,21256844,50,4010224,3570260,5517056
1781968565880469092,113825,40357,3569832,21256844,50,4010224,3570264,5517408
1781968567238033786,114226,40504,3569832,21256844,50,4010224,3570264,5518884
1781968568506983330,114631,40656,3569832,21256844,50,4010224,3570268,5518736
1781968569642142125,115000,40796,3569832,21256844,50,4010224,3570280,5520860
1781968570874630407,115381,40942,3569832,21256844,50,4010224,3570280,5521880
1781968572419994404,115869,41126,3569832,21256844,50,4010224,3570308,5522568
1781968573801110463,116325,41300,3569960,21256844,50,4010224,3570324,5529236
1781968575184223393,116774,41465,3569960,21256844,50,4010224,3570328,5524956
1781968576594412272,117206,41624,3569960,21256844,50,4010224,3570348,5526144
1781968577821091984,117631,41781,3569960,21256844,50,4010224,3570352,5527004
1781968578993822094,118014,41922,3569960,21256844,50,4010224,3570360,5527696
1781968580471520697,118472,42100,3569960,21256844,50,4010224,3570372,5529588
1781968581656566904,118838,42232,3569960,21256844,50,4010224,3570372,5530176
178196858338781085,119287,42399,3569960,21256844,50,4010224,3570372,5531528
1781968584301010286,119686,42548,3569960,21256844,50,4010224,3570384,5532576
1781968585887971809,120188,42743,3569960,21256844,50,4010224,3570388,5533340
1781968587982967865,120833,42980,3569960,21256844,50,4010224,3570396,5535200
1781968589301491758,121302,43153,3569960,21256844,50,4010224,3570396,5536360
1781968590690496665,121743,43317,3569960,21256844,50,4010224,3570404,5536208
178196859266742086,122129,43461,3569960,21256844,50,4010224,3570408,5537628
1781968593252743437,122552,43626,3569960,21256844,50,4010224,3570412,5537816
1781968594664710739,123018,43792,3569960,21256844,50,4010224,3570484,5539272
1781968595953333425,123443,43941,3569960,21256844,50,4010224,3570488,5540164
1781968597100108439,123807,44073,3569960,21256844,50,4010224,3570504,5541608
1781968598447931385,124190,44217,3569960,21256844,50,4010224,3570504,5542632
1781968599647909075,124631,44381,3569960,21256844,50,4010224,3570504,5543744
1781968600961736285,125052,44534,3569960,21256844,50,4010224,3570556,5544112
1781968602368416360,125518,44700,3569960,21256844,50,4010224,3570556,5545816
1781968603652634647,125901,44846,3569960,21256844,50,4010224,3570560,5546232
1781968604936629017,126324,45013,3569960,21256844,50,4010224,3570564,5547876
1781968606231433761,126740,45169,3569960,21256844,50,4010224,3570604,5547916
1781968607774629807,127203,45342,3570088,21256844,50,4010224,3570612,5548992
1781968608910139888,127612,45495,3570088,21256844,50,4010224,3570612,5550640
1781968610271791767,128037,45651,3570088,21256844,50,4010224,3570620,5550952
1781968611521488917,128423,45796,3570088,21256844,50,4010224,3570628,5552528
1781968612690747733,128806,45939,3570088,21256844,50,4010224,3570628,5552432
1781968613919479989,129199,46087,3570088,21256844,50,4010224,3570640,5553716
1781968615342048003,129633,46253,3570088,21256844,50,4010224,3570656,5556352
1781968616626857986,130041,46405,3570088,21256844,50,4010224,3570660,5556288
1781968618353285512,130559,46599,3570088,21256844,50,4010224,3570668,5557096
1781968619779279386,131078,46794,3570216,21256844,50,4010224,3570680,5557720
1781968621176906369,131516,46965,3570216,21256844,50,4010224,3570684,5558652
1781968622346432975,131882,47108,3570216,21256844,50,4010224,3570688,5560096
1781968623976998383,132412,47308,3570344,21256844,50,4010224,3570692,5562680
1781968625576858131,132927,47494,3570344,21256844,50,4010224,3570700,5562024
1781968626815726031,133295,47631,3570344,21256844,50,4010224,3570700,5563460
1781968628155467279,133691,47793,3570344,21256844,50,4010224,3570704,5563568
1781968629267324595,134020,47925,3570344,21256844,50,4010224,3570704,5565016
1781968630782294022,134502,48111,3570344,21256844,50,4010224,3570704,5565620
1781968631991628211,134884,48255,3570344,21256844,50,4010224,3570704,5566564
1781968633218557409,135240,48386,3570344,21256844,50,4010224,3570704,5567240
1781968634427905054,135616,48530,3570344,21256844,50,4010224,3570704,5568484
1781968635598877551,135927,48642,3570344,21256844,50,4010224,3570704,5568540
1781968636839358334,136277,48775,3570344,21256844,50,4010224,3570704,5570320
1781968638758016690,136909,49009,3570344,21256844,50,4010224,3570708,5570960
178196864089561687,137303,49158,3570344,21256844,50,4010224,3570708,5571992
1781968641373990949,137730,49314,3570344,21256844,50,4010224,3570708,5572760
1781968642495298488,138093,49460,3570344,21256844,50,4010224,3570708,5573424
1781968643839912489,138529,49620,3570344,21256844,50,4010224,3570712,5574904
1781968644981275434,138901,49752,3570344,21256844,50,4010224,3570712,5574692
1781968646273080454,139274,49886,3570344,21256844,50,4010224,3570716,5575800
1781968647391671319,139667,50027,3570344,21256844,50,4010224,3570716,5576104
1781968648517398063,140028,50170,3570344,21256844,50,4010224,3570716,5576880
1781968649705201442,140403,50314,3570344,21256844,50,4010224,3570716,5577228
178196865177952274,140827,50475,3570344,21256844,50,4010224,3570716,5578160
1781968652406450209,141245,50632,3570344,21256844,50,4010224,3570720,5577792
1781968653561375449,141617,50767,3570344,21256844,50,4010224,3570720,5578808
1781968654841712707,142029,50911,3570344,21256844,50,4010224,3570724,5579168
1781968656120677541,142427,51055,3570344,21256844,50,4010224,3570724,5579936
1781968657377947608,142839,51212,3570344,21256844,50,4010224,3570728,5580124
1781968659337814042,143436,51428,3570344,21256844,50,4010224,3570736,5581236
1781968660555477612,143875,51589,3570344,21256844,50,4010224,3570736,5582404
1781968661883001861,144299,51747,3570344,21256844,50,4010224,3570736,5582432
178196866392871032,144693,51889,3570344,21256844,50,4010224,3570736,5582892
1781968664273671922,145082,52029,3570344,21256844,50,4010224,3570736,5583676
1781968665491766541,145463,52174,3570344,21256844,50,4010224,3570736,5583964
1781968666774173387,145891,52326,3570344,21256844,50,4010224,3570736,5583908
178196866845136272,146296,52488,3570344,21256844,50,4010224,3570740,5584968
1781968669383936120,146730,52646,3570344,21256844,50,4010224,3570740,5585460
1781968670648537099,147137,52789,3570344,21256844,50,4010224,3570740,5586200
