20:12:19,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
20:12:20,all,69.82,0.00,18.31,0.00,0.00,6.61,0.00,0.00,0.00,5.27
20:12:20,0,64.00,0.00,22.00,0.00,0.00,12.00,0.00,0.00,0.00,2.00
20:12:20,1,70.71,0.00,19.19,0.00,0.00,8.08,0.00,0.00,0.00,2.02
20:12:20,2,72.73,0.00,16.16,0.00,0.00,8.08,0.00,0.00,0.00,3.03
20:12:20,3,74.75,0.00,15.15,0.00,0.00,8.08,0.00,0.00,0.00,2.02
20:12:20,4,62.00,0.00,23.00,0.00,0.00,12.00,0.00,0.00,0.00,3.00
20:12:20,5,69.00,0.00,22.00,0.00,0.00,5.00,0.00,0.00,0.00,4.00
20:12:20,6,76.77,0.00,13.13,0.00,0.00,3.03,0.00,0.00,0.00,7.07
20:12:20,7,70.00,0.00,19.00,0.00,0.00,5.00,0.00,0.00,0.00,6.00
20:12:20,8,68.69,0.00,17.17,0.00,0.00,4.04,0.00,0.00,0.00,10.10
20:12:20,9,65.35,0.00,21.78,0.00,0.00,5.94,0.00,0.00,0.00,6.93
20:12:20,10,70.71,0.00,15.15,0.00,0.00,4.04,0.00,0.00,0.00,10.10
20:12:20,11,73.27,0.00,15.84,0.00,0.00,3.96,0.00,0.00,0.00,6.93
20:12:21,all,71.44,0.00,19.77,0.00,0.00,7.20,0.00,0.00,0.00,1.59
20:12:21,0,64.65,0.00,24.24,0.00,0.00,11.11,0.00,0.00,0.00,0.00
20:12:21,1,69.31,0.00,21.78,0.00,0.00,7.92,0.00,0.00,0.00,0.99
20:12:21,2,69.00,0.00,21.00,0.00,0.00,9.00,0.00,0.00,0.00,1.00
20:12:21,3,59.00,0.00,26.00,0.00,0.00,14.00,0.00,0.00,0.00,1.00
20:12:21,4,68.69,0.00,22.22,0.00,0.00,8.08,0.00,0.00,0.00,1.01
20:12:21,5,73.00,0.00,20.00,0.00,0.00,6.00,0.00,0.00,0.00,1.00
20:12:21,6,75.00,0.00,17.00,0.00,0.00,5.00,0.00,0.00,0.00,3.00
20:12:21,7,74.75,0.00,17.17,0.00,0.00,6.06,0.00,0.00,0.00,2.02
20:12:21,8,77.00,0.00,16.00,0.00,0.00,5.00,0.00,0.00,0.00,2.00
20:12:21,9,72.45,0.00,18.37,0.00,0.00,5.10,0.00,0.00,0.00,4.08
20:12:21,10,78.00,0.00,16.00,0.00,0.00,4.00,0.00,0.00,0.00,2.00
20:12:21,11,76.53,0.00,17.35,0.00,0.00,5.10,0.00,0.00,0.00,1.02
20:12:22,all,70.28,0.00,20.37,0.00,0.00,7.60,0.00,0.00,0.00,1.75
20:12:22,0,66.34,0.00,21.78,0.00,0.00,10.89,0.00,0.00,0.00,0.99
20:12:22,1,70.71,0.00,19.19,0.00,0.00,9.09,0.00,0.00,0.00,1.01
20:12:22,2,66.67,0.00,22.22,0.00,0.00,10.10,0.00,0.00,0.00,1.01
20:12:22,3,56.00,0.00,27.00,0.00,0.00,16.00,0.00,0.00,0.00,1.00
20:12:22,4,59.41,0.00,26.73,0.00,0.00,13.86,0.00,0.00,0.00,0.00
20:12:22,5,77.00,0.00,18.00,0.00,0.00,4.00,0.00,0.00,0.00,1.00
20:12:22,6,77.78,0.00,17.17,0.00,0.00,4.04,0.00,0.00,0.00,1.01
20:12:22,7,75.00,0.00,19.00,0.00,0.00,4.00,0.00,0.00,0.00,2.00
20:12:22,8,72.73,0.00,16.16,0.00,0.00,5.05,0.00,0.00,0.00,6.06
20:12:22,9,69.31,0.00,20.79,0.00,0.00,5.94,0.00,0.00,0.00,3.96
20:12:22,10,77.78,0.00,16.16,0.00,0.00,4.04,0.00,0.00,0.00,2.02
20:12:22,11,75.00,0.00,20.00,0.00,0.00,4.00,0.00,0.00,0.00,1.00
20:12:23,all,69.47,0.00,19.97,0.00,0.00,7.90,0.00,0.00,0.00,2.66
20:12:23,0,70.71,0.00,22.22,0.00,0.00,6.06,0.00,0.00,0.00,1.01
