layer,campaign,contract,pair,group,arm,n,mean_cpu_per_req_ms,spread_pct
arm_order,20260805T140104Z-spring-triad-n3,heavy,1-tomcat-vs-compat,repeat01,target-a,2,1.090448,0.2557
arm_order,20260805T140104Z-spring-triad-n3,heavy,1-tomcat-vs-compat,repeat01,target-b,2,0.966435,0.8661
arm_order,20260805T140104Z-spring-triad-n3,heavy,1-tomcat-vs-compat,repeat02,target-a,2,1.108192,0.4750
arm_order,20260805T140104Z-spring-triad-n3,heavy,1-tomcat-vs-compat,repeat02,target-b,2,0.972087,0.3377
arm_order,20260805T140104Z-spring-triad-n3,heavy,1-tomcat-vs-compat,repeat03,target-a,2,1.094912,0.2687
arm_order,20260805T140104Z-spring-triad-n3,heavy,1-tomcat-vs-compat,repeat03,target-b,2,0.977031,0.5554
arm_order,20260805T140104Z-spring-triad-n3,heavy,2-tomcat-vs-pure,repeat01,target-a,2,1.053128,0.0302
arm_order,20260805T140104Z-spring-triad-n3,heavy,2-tomcat-vs-pure,repeat01,target-b,2,0.953487,0.0953
arm_order,20260805T140104Z-spring-triad-n3,heavy,2-tomcat-vs-pure,repeat02,target-a,2,1.102352,0.0734
arm_order,20260805T140104Z-spring-triad-n3,heavy,2-tomcat-vs-pure,repeat02,target-b,2,0.932584,0.2951
arm_order,20260805T140104Z-spring-triad-n3,heavy,2-tomcat-vs-pure,repeat03,target-a,2,1.084768,0.3832
arm_order,20260805T140104Z-spring-triad-n3,heavy,2-tomcat-vs-pure,repeat03,target-b,2,0.962002,0.3023
arm_order,20260805T140104Z-spring-triad-n3,heavy,3-compat-vs-pure,repeat01,target-a,2,0.997701,0.0441
arm_order,20260805T140104Z-spring-triad-n3,heavy,3-compat-vs-pure,repeat01,target-b,2,0.977162,0.1479
arm_order,20260805T140104Z-spring-triad-n3,heavy,3-compat-vs-pure,repeat02,target-a,2,0.993543,0.8706
arm_order,20260805T140104Z-spring-triad-n3,heavy,3-compat-vs-pure,repeat02,target-b,2,0.975808,0.3007
arm_order,20260805T140104Z-spring-triad-n3,heavy,3-compat-vs-pure,repeat03,target-a,2,0.997052,0.1902
arm_order,20260805T140104Z-spring-triad-n3,heavy,3-compat-vs-pure,repeat03,target-b,2,0.969451,0.1073
arm_order,20260805T140104Z-spring-triad-n3,light,1-tomcat-vs-compat,repeat01,target-a,2,0.145437,2.4987
arm_order,20260805T140104Z-spring-triad-n3,light,1-tomcat-vs-compat,repeat01,target-b,2,0.097604,0.0061
